tcpdump: verbose output suppressed, use -v[v]... for full protocol decode
listening on enxfc19286184c9, link-type EN10MB (Ethernet), snapshot length 262144 bytes
1790277786.883952 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24907, seq 9, length 1480
1790277786.885318 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24907, seq 9, length 1480
1790277786.934793 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24907, seq 10, length 1480
1790277786.937129 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24907, seq 10, length 1480
1790277786.985571 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24907, seq 11, length 1480
1790277786.987787 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24907, seq 11, length 1480
1790277787.036245 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24907, seq 12, length 1480
1790277787.037959 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24907, seq 12, length 1480
1790277787.087472 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24907, seq 13, length 1480
1790277787.090230 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24907, seq 13, length 1480
1790277787.138676 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24907, seq 14, length 1480
1790277787.140690 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24907, seq 14, length 1480
1790277787.189325 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24907, seq 15, length 1480
1790277787.191197 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24907, seq 15, length 1480
1790277787.240921 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24907, seq 16, length 1480
1790277787.243382 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24907, seq 16, length 1480
1790277787.292079 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24907, seq 17, length 1480
1790277787.294903 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24907, seq 17, length 1480
1790277787.342647 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24907, seq 18, length 1480
1790277787.345410 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24907, seq 18, length 1480
1790277787.394173 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24907, seq 19, length 1480
1790277787.397310 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24907, seq 19, length 1480
1790277787.445104 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24907, seq 20, length 1480
1790277787.448116 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24907, seq 20, length 1480
1790277787.527369 ARP, Request who-has 10.1.1.2 tell 10.1.1.3, length 46
1790277797.773003 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 1, length 26
1790277797.774066 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 1, length 26
1790277797.823506 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 2, length 26
1790277797.824909 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 2, length 26
1790277797.874157 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 3, length 26
1790277797.875625 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 3, length 26
1790277797.924822 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 4, length 26
1790277797.926282 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 4, length 26
1790277797.975507 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 5, length 26
1790277797.976847 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 5, length 26
1790277798.026066 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 6, length 26
1790277798.027384 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 6, length 26
1790277798.076558 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 7, length 26
1790277798.078138 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 7, length 26
1790277798.127452 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 8, length 26
1790277798.129130 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 8, length 26
1790277798.178319 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 9, length 26
1790277798.179555 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 9, length 26
1790277798.228732 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 10, length 26
1790277798.230718 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 10, length 26
1790277798.278865 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 11, length 26
1790277798.279632 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 11, length 26
1790277798.334666 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 12, length 26
1790277798.335535 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 12, length 26
1790277798.384836 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 13, length 26
1790277798.386253 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 13, length 26
1790277798.435418 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 14, length 26
1790277798.436129 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 14, length 26
1790277798.490793 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 15, length 26
1790277798.491974 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 15, length 26
1790277798.541316 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 16, length 26
1790277798.542827 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 16, length 26
1790277798.592191 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 17, length 26
1790277798.593273 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 17, length 26
1790277798.642583 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 18, length 26
1790277798.643907 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 18, length 26
1790277798.693135 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 19, length 26
1790277798.694220 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 19, length 26
1790277798.743525 IP 10.1.1.2 > 10.1.1.3: ICMP echo request, id 24920, seq 20, length 26
1790277798.744865 IP 10.1.1.3 > 10.1.1.2: ICMP echo reply, id 24920, seq 20, length 26
