# boot-timeline.py --retro, tool sha256 05dd4a74c349be5e161b44900474dc6b4795186d112456ee39485a59e4214273, paths: bench/2026-09-23
# one record per line; columns unused by a record are empty; seconds
# records: loader seg lm kboot cell nothing fragment class? term1 term1cell reset scale scalefit
record	firmware	variant	class	image	directory	capture	quantity	from	to	seg_class	n	value	median	min	max	p90	argmax	ratio	slope	ci_lo	ci_hi	r	note
cell	rlxfw	loud	?	pooled			kernel.late	fastpath	userinit	comparable	0												
cell	rlxfw	loud	cold	pooled			kernel.total	kentry	userinit	comparable	1		11.011379	11.011379	11.011379								
cell	rlxfw	loud	warm	pooled			kernel.total	kentry	userinit	comparable	2		11.001975	11.001176	11.002774								
cell	rlxfw	loud	?	pooled			kernel.total	kentry	userinit	comparable	0												
cell	rlxfw	loud	cold	pooled			user.ready	userinit	ready	not-comparable	1		0.116240	0.116240	0.116240								
cell	rlxfw	loud	warm	pooled			user.ready	userinit	ready	not-comparable	2		0.116382	0.116062	0.116702								
cell	rlxfw	loud	?	pooled			user.ready	userinit	ready	not-comparable	0												
cell	rlxfw	loud	cold	pooled			boot.jump_to_ready	jump	ready	not-comparable	1		12.374537	12.374537	12.374537								
cell	rlxfw	loud	warm	pooled			boot.jump_to_ready	jump	ready	not-comparable	2		12.360617	12.359429	12.361805								
cell	rlxfw	loud	?	pooled			boot.jump_to_ready	jump	ready	not-comparable	0												
cell	rlxfw	loud	cold	pooled			rlxfw.setup	b00	b09	not-comparable	1		0.275227	0.275227	0.275227								
cell	rlxfw	loud	warm	pooled			rlxfw.setup	b00	b09	not-comparable	2		0.274638	0.274089	0.275187								
cell	rlxfw	loud	?	pooled			rlxfw.setup	b00	b09	not-comparable	0												
cell	rlxfw	loud	cold	pooled			rlxfw.initpost	b10	userinit	not-comparable	1		0.012049	0.012049	0.012049								
cell	rlxfw	loud	warm	pooled			rlxfw.initpost	b10	userinit	not-comparable	2		0.011735	0.011437	0.012033								
cell	rlxfw	loud	?	pooled			rlxfw.initpost	b10	userinit	not-comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			rtkload.decompress	decomp	decomp_done	comparable	2		1.188528	1.187909	1.189148								
cell	rlxfw	quiet	warm	A2C56BC8			rtkload.decompress	decomp	decomp_done	comparable	6		1.201162	1.187955	1.201430								
cell	rlxfw	quiet	?	A2C56BC8			rtkload.decompress	decomp	decomp_done	comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			rtkload.total	jump	kentry	comparable	2		1.201843	1.201280	1.202405								
cell	rlxfw	quiet	warm	A2C56BC8			rtkload.total	jump	kentry	comparable	6		1.214380	1.202401	1.215932								
cell	rlxfw	quiet	?	A2C56BC8			rtkload.total	jump	kentry	comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			kernel.early	kentry	wlan	comparable	2		0.802541	0.802121	0.802961								
cell	rlxfw	quiet	warm	A2C56BC8			kernel.early	kentry	wlan	comparable	6		0.809942	0.801947	0.811875								
cell	rlxfw	quiet	?	A2C56BC8			kernel.early	kentry	wlan	comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			kernel.wlan	wlan	nic	comparable	2		4.485276	4.482159	4.488393								
cell	rlxfw	quiet	warm	A2C56BC8			kernel.wlan	wlan	nic	comparable	6		4.533120	4.482950	4.534946								
cell	rlxfw	quiet	?	A2C56BC8			kernel.wlan	wlan	nic	comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			kernel.nic	nic	fastpath	comparable	2		0.839958	0.839362	0.840555								
cell	rlxfw	quiet	warm	A2C56BC8			kernel.nic	nic	fastpath	comparable	6		0.847733	0.839103	0.848698								
cell	rlxfw	quiet	?	A2C56BC8			kernel.nic	nic	fastpath	comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			kernel.late	fastpath	userinit	comparable	2		3.089722	3.087148	3.092295								
cell	rlxfw	quiet	warm	A2C56BC8			kernel.late	fastpath	userinit	comparable	6		3.121415	3.087729	3.122019								
cell	rlxfw	quiet	?	A2C56BC8			kernel.late	fastpath	userinit	comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			kernel.total	kentry	userinit	comparable	2		9.217497	9.210790	9.224204								
