# boot-timeline.py --retro, tool sha256 a541392a0ffe7216f176f5f50995cc6eac0bcc4a384aa407a082037d5219ec7c, paths: bench/2026-09-25
# one record per line; columns unused by a record are empty; seconds
# records: loader seg lm kboot cell nothing fragment class? term1 term1cell reset scale scalefit
record	firmware	variant	class	image	directory	capture	quantity	from	to	seg_class	n	value	median	min	max	p90	argmax	ratio	slope	ci_lo	ci_hi	r	note
cell	rlxfw	quiet	cold	pooled			kernel.total	kentry	userinit	comparable	2		9.445502	9.445123	9.445882								
cell	rlxfw	quiet	warm	pooled			kernel.total	kentry	userinit	comparable	6		9.445702	9.445069	9.446463								
cell	rlxfw	quiet	?	pooled			kernel.total	kentry	userinit	comparable	0												
cell	rlxfw	quiet	cold	pooled			user.ready	userinit	ready	not-comparable	2		0.116628	0.116111	0.117145								
cell	rlxfw	quiet	warm	pooled			user.ready	userinit	ready	not-comparable	6		0.116047	0.115471	0.116307								
cell	rlxfw	quiet	?	pooled			user.ready	userinit	ready	not-comparable	0												
cell	rlxfw	quiet	cold	pooled			boot.jump_to_ready	jump	ready	not-comparable	2		10.793316	10.791050	10.795582								
cell	rlxfw	quiet	warm	pooled			boot.jump_to_ready	jump	ready	not-comparable	6		10.792753	10.790948	10.794228								
cell	rlxfw	quiet	?	pooled			boot.jump_to_ready	jump	ready	not-comparable	0												
cell	rlxfw	quiet	cold	pooled			rlxfw.setup	b00	b09	not-comparable	2		0.047383	0.047358	0.047407								
cell	rlxfw	quiet	warm	pooled			rlxfw.setup	b00	b09	not-comparable	6		0.047223	0.047093	0.047440								
cell	rlxfw	quiet	?	pooled			rlxfw.setup	b00	b09	not-comparable	0												
cell	rlxfw	quiet	cold	pooled			rlxfw.initpost	b10	userinit	not-comparable	2		0.011902	0.011645	0.012158								
cell	rlxfw	quiet	warm	pooled			rlxfw.initpost	b10	userinit	not-comparable	6		0.011997	0.011823	0.012722								
cell	rlxfw	quiet	?	pooled			rlxfw.initpost	b10	userinit	not-comparable	0												
cell	rlxfw	loud	cold	pooled			rtkload.decompress	decomp	decomp_done	comparable	1		1.248109	1.248109	1.248109								
cell	rlxfw	loud	warm	pooled			rtkload.decompress	decomp	decomp_done	comparable	2		1.247269	1.247053	1.247484								
cell	rlxfw	loud	?	pooled			rtkload.decompress	decomp	decomp_done	comparable	0												
cell	rlxfw	loud	cold	pooled			rtkload.total	jump	kentry	comparable	1		1.260637	1.260637	1.260637								
cell	rlxfw	loud	warm	pooled			rtkload.total	jump	kentry	comparable	2		1.262339	1.261662	1.263017								
cell	rlxfw	loud	?	pooled			rtkload.total	jump	kentry	comparable	0												
cell	rlxfw	loud	cold	pooled			kernel.early	kentry	wlan	comparable	1		1.523894	1.523894	1.523894								
cell	rlxfw	loud	warm	pooled			kernel.early	kentry	wlan	comparable	2		1.524926	1.524901	1.524951								
cell	rlxfw	loud	?	pooled			kernel.early	kentry	wlan	comparable	0												
cell	rlxfw	loud	cold	pooled			kernel.wlan	wlan	nic	comparable	1		5.207950	5.207950	5.207950								
cell	rlxfw	loud	warm	pooled			kernel.wlan	wlan	nic	comparable	2		5.207031	5.207017	5.207046								
cell	rlxfw	loud	?	pooled			kernel.wlan	wlan	nic	comparable	0												
cell	rlxfw	loud	cold	pooled			kernel.nic	nic	fastpath	comparable	1		1.240909	1.240909	1.240909								
cell	rlxfw	loud	warm	pooled			kernel.nic	nic	fastpath	comparable	2		1.240989	1.240976	1.241001								
cell	rlxfw	loud	?	pooled			kernel.nic	nic	fastpath	comparable	0												
cell	rlxfw	loud	cold	pooled			kernel.late	fastpath	userinit	comparable	1		3.182861	3.182861	3.182861								
cell	rlxfw	loud	warm	pooled			kernel.late	fastpath	userinit	comparable	2		3.183365	3.183160	3.183571								
cell	rlxfw	loud	?	pooled			kernel.late	fastpath	userinit	comparable	0												
cell	rlxfw	loud	cold	pooled			kernel.total	kentry	userinit	comparable	1		11.155614	11.155614	11.155614								
cell	rlxfw	loud	warm	pooled			kernel.total	kentry	userinit	comparable	2		11.156312	11.156054	11.156569								
cell	rlxfw	loud	?	pooled			kernel.total	kentry	userinit	comparable	0												
cell	rlxfw	loud	cold	pooled			user.ready	userinit	ready	not-comparable	1		0.118239	0.118239	0.118239								
cell	rlxfw	loud	warm	pooled			user.ready	userinit	ready	not-comparable	2		0.117668	0.117483	0.117854								
cell	rlxfw	loud	?	pooled			user.ready	userinit	ready	not-comparable	0												
cell	rlxfw	loud	cold	pooled			boot.jump_to_ready	jump	ready	not-comparable	1		12.534490	12.534490	12.534490								
cell	rlxfw	loud	warm	pooled			boot.jump_to_ready	jump	ready	not-comparable	2		12.536320	12.535714	12.536925								
cell	rlxfw	loud	?	pooled			boot.jump_to_ready	jump	ready	not-comparable	0												
cell	rlxfw	loud	cold	pooled			rlxfw.setup	b00	b09	not-comparable	1		0.293701	0.293701	0.293701								
cell	rlxfw	loud	warm	pooled			rlxfw.setup	b00	b09	not-comparable	2		0.278137	0.277730	0.278543								
cell	rlxfw	loud	?	pooled			rlxfw.setup	b00	b09	not-comparable	0												
cell	rlxfw	loud	cold	pooled			rlxfw.initpost	b10	userinit	not-comparable	1		0.011702	0.011702	0.011702								
cell	rlxfw	loud	warm	pooled			rlxfw.initpost	b10	userinit	not-comparable	2		0.012312	0.012175	0.012449								
cell	rlxfw	loud	?	pooled			rlxfw.initpost	b10	userinit	not-comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			rtkload.decompress	decomp	decomp_done	comparable	2		1.217980	1.217956	1.218004								
cell	rlxfw	quiet	warm	A2C56BC8			rtkload.decompress	decomp	decomp_done	comparable	6		1.217587	1.216993	1.218285								
cell	rlxfw	quiet	?	A2C56BC8			rtkload.decompress	decomp	decomp_done	comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			rtkload.total	jump	kentry	comparable	2		1.231186	1.229057	1.233314								
cell	rlxfw	quiet	warm	A2C56BC8			rtkload.total	jump	kentry	comparable	6		1.230987	1.229956	1.232254								
cell	rlxfw	quiet	?	A2C56BC8			rtkload.total	jump	kentry	comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			kernel.early	kentry	wlan	comparable	2		0.822039	0.822030	0.822048								
cell	rlxfw	quiet	warm	A2C56BC8			kernel.early	kentry	wlan	comparable	6		0.821913	0.821267	0.822190								
cell	rlxfw	quiet	?	A2C56BC8			kernel.early	kentry	wlan	comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			kernel.wlan	wlan	nic	comparable	2		4.597359	4.597089	4.597628								
cell	rlxfw	quiet	warm	A2C56BC8			kernel.wlan	wlan	nic	comparable	6		4.597584	4.597131	4.605920								
cell	rlxfw	quiet	?	A2C56BC8			kernel.wlan	wlan	nic	comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			kernel.nic	nic	fastpath	comparable	2		0.860345	0.860160	0.860530								
cell	rlxfw	quiet	warm	A2C56BC8			kernel.nic	nic	fastpath	comparable	6		0.860623	0.851536	0.861355								
cell	rlxfw	quiet	?	A2C56BC8			kernel.nic	nic	fastpath	comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			kernel.late	fastpath	userinit	comparable	2		3.165760	3.165456	3.166064								
cell	rlxfw	quiet	warm	A2C56BC8			kernel.late	fastpath	userinit	comparable	6		3.165525	3.165364	3.165801								
cell	rlxfw	quiet	?	A2C56BC8			kernel.late	fastpath	userinit	comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			kernel.total	kentry	userinit	comparable	2		9.445502	9.445123	9.445882								
cell	rlxfw	quiet	warm	A2C56BC8			kernel.total	kentry	userinit	comparable	6		9.445702	9.445069	9.446463								
cell	rlxfw	quiet	?	A2C56BC8			kernel.total	kentry	userinit	comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			user.ready	userinit	ready	not-comparable	2		0.116628	0.116111	0.117145								
cell	rlxfw	quiet	warm	A2C56BC8			user.ready	userinit	ready	not-comparable	6		0.116047	0.115471	0.116307								
cell	rlxfw	quiet	?	A2C56BC8			user.ready	userinit	ready	not-comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			boot.jump_to_ready	jump	ready	not-comparable	2		10.793316	10.791050	10.795582								
cell	rlxfw	quiet	warm	A2C56BC8			boot.jump_to_ready	jump	ready	not-comparable	6		10.792753	10.790948	10.794228								
cell	rlxfw	quiet	?	A2C56BC8			boot.jump_to_ready	jump	ready	not-comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			rlxfw.setup	b00	b09	not-comparable	2		0.047383	0.047358	0.047407								
cell	rlxfw	quiet	warm	A2C56BC8			rlxfw.setup	b00	b09	not-comparable	6		0.047223	0.047093	0.047440								
cell	rlxfw	quiet	?	A2C56BC8			rlxfw.setup	b00	b09	not-comparable	0												
cell	rlxfw	quiet	cold	A2C56BC8			rlxfw.initpost	b10	userinit	not-comparable	2		0.011902	0.011645	0.012158								
cell	rlxfw	quiet	warm	A2C56BC8			rlxfw.initpost	b10	userinit	not-comparable	6		0.011997	0.011823	0.012722								
cell	rlxfw	quiet	?	A2C56BC8			rlxfw.initpost	b10	userinit	not-comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			rtkload.decompress	decomp	decomp_done	comparable	1		1.248109	1.248109	1.248109								
cell	rlxfw	loud	warm	A2C56BC8			rtkload.decompress	decomp	decomp_done	comparable	2		1.247269	1.247053	1.247484								
cell	rlxfw	loud	?	A2C56BC8			rtkload.decompress	decomp	decomp_done	comparable	0												
cell	rlxfw	loud	cold	A2C56BC8			rtkload.total	jump	kentry	comparable	1		1.260637	1.260637	1.260637								
cell	rlxfw	loud	warm	A2C56BC8			rtkload.total	jump	kentry	comparable	2		1.262339	1.261662	1.263017								
cell	rlxfw	loud	?	A2C56BC8			rtkload.total	jump	kentry	comparable	0												
